Professor,Average Rating,Mode Rating,Department,Would Take Again,Level of Difficulty,Num Ratings,School
f353ae9a,2.3,2.3,Computer Science,15%,2.2,10,UC Berkeley
33bdf59d,1.0,1.0,Law,0%,1.7,3,UC Berkeley
05a4e32f,2.5,2.5,Business Administration,50%,2.5,2,UC Berkeley
f4c299a4,1.9,1.9,Mathematics,11%,3.2,103,UC Berkeley
88810cf6,3.7,3.7,Psychology,53%,2.3,96,UC Berkeley
ad5419c7,2.6,2.6,Mathematics,50%,2.9,41,UC Berkeley
da134813,1.9,1.9,Economics,27%,4,25,UC Berkeley
8b6a2e97,2.8,2.8,Computer Science,39%,4.1,13,UC Berkeley
4691005d,4.7,4.7,Computer Science,100%,2.7,9,UC Berkeley
a6728a46,2.0,2.0,Economics,0%,3,1,UC Berkeley
6369bebf,4.8,4.8,International Studies,96%,3.1,22,UC Berkeley
5e7f47e4,3.7,3.7,Cognitive Science,67%,3.3,6,UC Berkeley
920ff4e8,3.3,3.3,Spanish,0%,3,4,UC Berkeley
3cb8aaeb,3.3,3.3,Economics,67%,2.7,3,UC Berkeley
e902cf53,3.0,3.0,Mathematics,50%,4,2,UC Berkeley
bd38425e,3.0,3.0,Mathematics,40%,3.6,108,UC Berkeley
44563aad,2.4,2.4,Engineering,26%,3.5,53,UC Berkeley
37c15511,4.6,4.6,Ethnic Studies,90%,2,31,UC Berkeley
63456e4d,1.5,1.5,Engineering,10%,4.3,30,UC Berkeley
efa3a7a4,2.6,2.6,English,80%,4,11,UC Berkeley
7f59f8fc,4.7,4.7,Women's Studies,82%,2.5,11,UC Berkeley
1a067093,2.8,2.8,Biology,16%,3.9,78,UC Berkeley
4086214d,4.1,4.1,Mass Communications,83%,3.1,54,UC Berkeley
c5107ffb,3.0,3.0,Computer Science,49%,3.9,33,UC Berkeley
743db8db,4.3,4.3,Biology,91%,3,21,UC Berkeley
1019e452,4.5,4.5,Nutrition,100%,3.6,7,UC Berkeley
5d5a94d5,5.0,5.0,Computer Science,100%,3.1,7,UC Berkeley
376a0adb,4.0,4.0,Political Science,79%,3.4,128,UC Berkeley
92d8acc9,4.0,4.0,Political Science,74%,3.4,55,UC Berkeley
ad88f35d,4.2,4.2,Classics,69%,2.9,30,UC Berkeley
6abdb747,2.6,2.6,Physics,40%,3.1,17,UC Berkeley
ed6b0a6c,1.2,1.2,Statistics,0%,4.8,13,UC Berkeley
b4e1cf58,4.1,4.1,Ethnic Studies,90%,2.3,10,UC Berkeley
6dee44c7,4.8,4.8,Writing,97%,2.2,31,UC Berkeley
11554bfb,3.3,3.3,Statistics,34%,3.6,8,UC Berkeley
17d8872b,4.7,4.7,Sociology,91%,1.8,101,UC Berkeley
96a6e723,4.3,4.3,Interdisciplinary Studies,85%,2.7,52,UC Berkeley
02acb7a2,3.1,3.1,Anthropology,45%,3.3,9,UC Berkeley
25d07f39,5.0,5.0,Anthropology,100%,3.8,4,UC Berkeley
2dbbaa00,4.2,4.2,English,91%,2.8,42,UC Berkeley
0a2a36d1,4.7,4.7,Electrical Engineering,100%,3.7,6,UC Berkeley
97222da2,4.8,4.8,English,100%,2.2,6,UC Berkeley
0a64b6b0,5.0,5.0,Military Affairs,100%,3.5,2,UC Berkeley
aa173d15,3.0,3.0,Electrical Engineering,44%,4.2,73,UC Berkeley
fd6020c2,4.0,4.0,Biology,0%,3.3,4,UC Berkeley
a3023a74,4.1,4.1,City Regional Planning,86%,3.6,22,UC Berkeley
3ba040f3,2.0,2.0,Economics,20%,3,56,UC Berkeley
0596fdcf,2.7,2.7,Writing,32%,4.2,38,UC Berkeley
7f57793c,2.2,2.2,Sociology,8%,3.2,30,UC Berkeley
e7a23f10,3.3,3.3,Mathematics,59%,2.8,93,UC Berkeley
6d3d343e,4.1,4.1,Mathematics,82%,3.5,63,UC Berkeley
4c9765ed,4.3,4.3,Psychology,72%,2.5,54,UC Berkeley
88310156,4.3,4.3,Physics,84%,3.6,25,UC Berkeley
c2a7f3f4,5.0,5.0,Legal Studies,100%,3.5,20,UC Berkeley
ed37b454,4.3,4.3,Physics,67%,1.9,15,UC Berkeley
098a4ba2,5.0,5.0,Psychology,100%,1.6,8,UC Berkeley
798ec701,1.7,1.7,Industrial Engineering,0%,2.7,3,UC Berkeley
a055f597,4.3,4.3,Chemistry,83%,3.3,202,UC Berkeley
4c922eb0,3.0,3.0,Biology,100%,3.4,141,UC Berkeley
7629f50a,3.4,3.4,Mathematics,60%,3.7,86,UC Berkeley
d6c0cb23,4.7,4.7,Biology,95%,2.1,56,UC Berkeley
0dd797ca,4.2,4.2,Classics,73%,2.8,48,UC Berkeley
708d68c4,3.9,3.9,Environ. Sci. Policy & Mgmt.,77%,2.5,21,UC Berkeley
867fb1dc,3.9,3.9,Spanish,65%,2.4,17,UC Berkeley
010c78fd,4.9,4.9,Political Science,100%,1.9,14,UC Berkeley
4eb48749,4.4,4.4,Asian Studies,86%,2.7,7,UC Berkeley
9363fe1b,3.9,3.9,MolecularCellular Biology,100%,3.6,7,UC Berkeley
86697efa,4.7,4.7,African-American Studies,100%,2.3,6,UC Berkeley
86fe13e8,3.2,3.2,Biology,100%,3.8,5,UC Berkeley
e5b4dc5d,4.2,4.2,Nutrition,80%,1,5,UC Berkeley
3464cdce,5.0,5.0,English,100%,1.5,4,UC Berkeley
d55e039b,5.0,5.0,Biology,100%,2.7,3,UC Berkeley
2d73f918,4.3,4.3,Electrical Engineering,80%,3.5,94,UC Berkeley
bf2f8cff,4.3,4.3,Mathematics,85%,3.4,43,UC Berkeley
abbef91e,4.4,4.4,English,70%,2.4,26,UC Berkeley
589ae047,3.0,3.0,English,50%,3.7,17,UC Berkeley
113fa70f,2.3,2.3,Art History,23%,3.8,10,UC Berkeley
cd84ad5b,3.6,3.6,Physics,63%,3.5,8,UC Berkeley
4d0c53eb,3.1,3.1,Geography,60%,3,6,UC Berkeley
e82b8e3e,3.5,3.5,Geography,50%,2,2,UC Berkeley
2efa4b00,4.2,4.2,History,80%,3.1,15,UC Berkeley
7d88ab7c,2.9,2.9,Sociology,44%,3,102,UC Berkeley
3de39755,4.2,4.2,History,77%,2.9,72,UC Berkeley
a91a2dad,4.2,4.2,Peace & Conflict Studies,72%,3.1,39,UC Berkeley
d37e72ec,4.4,4.4,History,83%,2.1,28,UC Berkeley
6f0dacb7,5.0,5.0,Scandinavian,100%,2.5,10,UC Berkeley
5aa42082,2.2,2.2,Nuclear Engineering,34%,3.2,9,UC Berkeley
0217aecc,4.8,4.8,Theatre & Dance,100%,2.6,5,UC Berkeley
05e20f53,4.3,4.3,History,100%,2.5,4,UC Berkeley
7493ed9e,3.3,3.3,Physics,62%,3.4,75,UC Berkeley
03c964bb,3.3,3.3,History,75%,3.7,41,UC Berkeley
c3c6b59b,2.5,2.5,Film,33%,4.3,34,UC Berkeley
62447850,4.8,4.8,Civil Engineering,97%,3,28,UC Berkeley
ff66fcb7,2.4,2.4,History,19%,3.8,16,UC Berkeley
becbdd77,4.8,4.8,History,94%,3.1,73,UC Berkeley
68583965,3.2,3.2,Chemistry,47%,3.8,67,UC Berkeley
8ca34cc2,3.9,3.9,Political Science,75%,2.8,23,UC Berkeley
5c0a8779,3.8,3.8,Psychology,50%,3.7,20,UC Berkeley
6812e9ca,4.5,4.5,Mechanical Engineering,93%,3,14,UC Berkeley
78afa30b,5.0,5.0,Comparative Literature,100%,4.2,10,UC Berkeley
6aba4f11,2.9,2.9,Mechanical Engineering,50%,3.8,8,UC Berkeley
abaae02c,2.0,2.0,Computer Science,0%,4.2,6,UC Berkeley
9ba985dc,5.0,5.0,History,100%,3,6,UC Berkeley
04a88e96,5.0,5.0,Mechanical Engineering,100%,3,3,UC Berkeley
475a6b95,4.0,4.0,Political Science,67%,2.7,3,UC Berkeley
12d8c7ff,5.0,5.0,Public Policy,100%,3,1,UC Berkeley
10a03e3b,3.4,3.4,Biology,0%,3.1,37,UC Berkeley
6e492ca7,3.7,3.7,Music,54%,3.6,31,UC Berkeley
94eb41d7,3.8,3.8,Sociology,66%,2.9,29,UC Berkeley
71f9e8db,3.5,3.5,Legal Studies,63%,3.8,29,UC Berkeley
9193d8a8,3.8,3.8,Political Science,70%,2.7,28,UC Berkeley
f75834e6,3.4,3.4,Biology,72%,2.5,14,UC Berkeley
e7fafac9,4.7,4.7,Linguistics,89%,2.6,9,UC Berkeley
aafb205f,5.0,5.0,Public Policy,100%,2.3,6,UC Berkeley
f17acc0e,5.0,5.0,History,100%,3,2,UC Berkeley
a9151962,5.0,5.0,English,100%,3,2,UC Berkeley
56a6ee47,3.8,3.8,Mathematics,64%,3,90,UC Berkeley
d1937faa,3.2,3.2,Nutrition,49%,2.6,49,UC Berkeley
2bb3da4f,3.8,3.8,Mechanical Engineering,70%,3.6,20,UC Berkeley
50efba22,3.9,3.9,Music,74%,3.5,15,UC Berkeley
2e80b7b9,4.3,4.3,Political Science,50%,3.3,11,UC Berkeley
39103de2,4.8,4.8,Classics,100%,2.6,8,UC Berkeley
7617b235,4.5,4.5,Interdisciplinary Studies,75%,3.3,4,UC Berkeley
dfd7711c,5.0,5.0,History,100%,2.3,3,UC Berkeley
dd37e53a,4.5,4.5,Chemistry,89%,3.2,162,UC Berkeley
cd27c115,4.8,4.8,Physics,95%,3,36,UC Berkeley
a934f55b,2.6,2.6,Sociology,56%,4.3,35,UC Berkeley
dcf35d66,3.1,3.1,Philosophy,23%,2.9,14,UC Berkeley
46b3e361,4.2,4.2,Biology,0%,2.5,11,UC Berkeley
64e61ab3,3.7,3.7,Biology,70%,2.6,10,UC Berkeley
0007a9c6,4.8,4.8,Near Eastern Studies,89%,2,10,UC Berkeley
31bfb6ca,3.0,3.0,Political Science,50%,2.5,2,UC Berkeley
d54b8028,5.0,5.0,Molecular/Cellular Biology,100%,2,1,UC Berkeley
8b16f3ec,3.9,3.9,Political Science,69%,2.3,101,UC Berkeley
c245c368,4.8,4.8,Sociology,93%,2.6,14,UC Berkeley
d084493e,2.5,2.5,Statistics,33%,3.9,168,UC Berkeley
428dce96,4.2,4.2,American Studies,83%,2.9,73,UC Berkeley
113e4be6,3.8,3.8,Sociology,64%,2.6,64,UC Berkeley
43c43ac5,3.6,3.6,East Asian Studies,87%,3.2,49,UC Berkeley
9b4212a7,4.4,4.4,Economics,84%,4.2,30,UC Berkeley
05ac9c6f,4.6,4.6,English,94%,3.3,15,UC Berkeley
7794501c,3.3,3.3,Statistics,60%,3.7,10,UC Berkeley
2bd01598,5.0,5.0,Computer Science,100%,4,1,UC Berkeley
adbf1078,1.7,1.7,Mathematics,15%,4.3,197,UC Berkeley
5b04a152,4.1,4.1,Computer Science,81%,3.4,139,UC Berkeley
4fd6c1cc,4.3,4.3,Biology,98%,2.8,75,UC Berkeley
10e08653,3.3,3.3,Political Science,46%,3.4,64,UC Berkeley
38801da5,4.8,4.8,Philosophy,97%,3.4,32,UC Berkeley
958b445a,3.3,3.3,Environ. Sci. Policy & Mgmt.,58%,2.6,21,UC Berkeley
3ab6d877,3.8,3.8,Chemistry,75%,3,16,UC Berkeley
a63c20b9,4.8,4.8,Philosophy,93%,3.2,13,UC Berkeley
4fdf0c61,3.1,3.1,Business Administration,43%,2.2,10,UC Berkeley
dbfcf4e3,3.8,3.8,Anthropology,100%,2.8,4,UC Berkeley
78768093,4.5,4.5,Computer Science,50%,5,2,UC Berkeley
b576651f,4.2,4.2,Biology,83%,2.8,239,UC Berkeley
fd40d9dd,3.2,3.2,Chemistry,73%,2.9,225,UC Berkeley
6db40f13,4.5,4.5,Psychology,90%,2.6,19,UC Berkeley
3e02b689,2.2,2.2,History,23%,2.8,12,UC Berkeley
057d2ca8,2.4,2.4,Not Specified,34%,3.7,10,UC Berkeley
8759b2f2,4.7,4.7,Geography,100%,1.7,9,UC Berkeley
bbd87ae1,4.8,4.8,Rhetoric,100%,3.2,6,UC Berkeley
e5fafa90,5.0,5.0,Architecture,100%,4,1,UC Berkeley
74695af9,4.5,4.5,Statistics,92%,3.3,143,UC Berkeley
a8576069,4.8,4.8,Engineering,95%,3.5,78,UC Berkeley
e32635cc,1.1,1.1,Cognitive Science,2%,4.4,67,UC Berkeley
b14a76ba,2.6,2.6,Mathematics,32%,4,64,UC Berkeley
345abc09,3.4,3.4,English,42%,3.5,59,UC Berkeley
1df857bf,4.8,4.8,Sociology,89%,1.6,9,UC Berkeley
76458602,2.0,2.0,Mathematics,86%,4.1,91,UC Berkeley
541549cb,4.4,4.4,Philosophy,72%,2.8,61,UC Berkeley
74584a23,4.1,4.1,Rhetoric,81%,3.1,48,UC Berkeley
e95f7538,4.5,4.5,Writing,83%,2.9,32,UC Berkeley
f9e67c8d,4.2,4.2,Women's Studies,78%,2.6,31,UC Berkeley
ec0bd5f1,4.2,4.2,Ethnic Studies,77%,2.6,23,UC Berkeley
0e1aef17,4.6,4.6,Theatre Dance,100%,2.8,20,UC Berkeley
fd6ce393,3.7,3.7,Asian Studies,55%,3.1,17,UC Berkeley
f50c40be,4.1,4.1,Comparative Literature,50%,2.6,11,UC Berkeley
a53de70c,4.4,4.4,English,80%,3,5,UC Berkeley
206e4e8d,4.5,4.5,Landscape Architecture & Regional Planning,75%,2.8,4,UC Berkeley
707a1174,4.8,4.8,Chemistry,100%,2,3,UC Berkeley
ccf69a77,5.0,5.0,Geography,100%,4,2,UC Berkeley
7ea64a6d,4.8,4.8,Psychology,99%,2.6,131,UC Berkeley
0eb6a885,3.2,3.2,Physics,48%,4.1,85,UC Berkeley
92b68e11,2.3,2.3,Biology,17%,4,41,UC Berkeley
e55d6a24,4.4,4.4,Biology,92%,3,25,UC Berkeley
7dd256e9,4.1,4.1,African-American Studies,56%,2.9,21,UC Berkeley
8296bc05,4.0,4.0,Nutrition,71%,2.4,17,UC Berkeley
aabc7914,3.1,3.1,Business Administration,48%,3.1,17,UC Berkeley
dcb7ec73,2.8,2.8,Geography,44%,3.1,16,UC Berkeley
f04238a3,5.0,5.0,Theatre amp Dance,100%,1.9,7,UC Berkeley
52099621,4.8,4.8,Business Administration,84%,2,6,UC Berkeley
d5b2e9cc,4.2,4.2,Education,80%,2.4,5,UC Berkeley
41a37373,5.0,5.0,Physical Education,100%,2.2,5,UC Berkeley
85c8d3ce,4.5,4.5,Mathematics,100%,3.8,4,UC Berkeley
403eb023,4.3,4.3,Film,100%,2.7,3,UC Berkeley
5a931930,5.0,5.0,Chemistry,100%,4.5,2,UC Berkeley
5927984f,2.0,2.0,Music,0%,2,2,UC Berkeley
6189b4c3,2.4,2.4,Chemistry,34%,4.1,56,UC Berkeley
3ed32bc7,1.6,1.6,Earth amp Planetary Sciences,13%,2.9,33,UC Berkeley
d9b3cc34,4.6,4.6,Art History,100%,2.9,27,UC Berkeley
09583c9b,3.4,3.4,Environmental Science,0%,3.5,11,UC Berkeley
852e94dc,4.5,4.5,Film,100%,2.6,11,UC Berkeley
995c4d99,2.3,2.3,Physics,25%,3.3,4,UC Berkeley
9a4ce02b,5.0,5.0,Music,100%,1.7,3,UC Berkeley
66c5eb58,3.5,3.5,Art,50%,2,2,UC Berkeley
b22f8794,5.0,5.0,Music,100%,3,1,UC Berkeley
cdfdccdf,4.3,4.3,Sociology,84%,2.4,64,UC Berkeley
2437c9d5,4.0,4.0,Philosophy,80%,3.7,34,UC Berkeley
2c814956,4.7,4.7,Sociology,100%,2,6,UC Berkeley
94278695,2.5,2.5,Interdisciplinary Studies,50%,3.5,4,UC Berkeley
bac25c76,5.0,5.0,Sociology,100%,3,1,UC Berkeley
57c3655d,2.2,2.2,Chemistry,28%,4.3,48,UC Berkeley
bfc7d656,4.7,4.7,Computer Science,97%,2.9,34,UC Berkeley
034ff308,2.8,2.8,English,47%,4,32,UC Berkeley
02fbea8d,3.3,3.3,Economics,57%,3.4,20,UC Berkeley
45683fc9,2.8,2.8,Psychology,38%,3.9,16,UC Berkeley
6c57b843,3.2,3.2,Chemistry,58%,3.4,14,UC Berkeley
9dcfde57,3.3,3.3,Geography,45%,3.4,9,UC Berkeley
efa9258b,4.1,4.1,History,75%,2.6,8,UC Berkeley
05aee12d,4.6,4.6,Nuclear Engineering,100%,2,5,UC Berkeley
b5357073,5.0,5.0,Business Administration,100%,3.2,5,UC Berkeley
6b115f03,4.0,4.0,Nuclear Engineering,100%,2,3,UC Berkeley
9d3697a3,3.6,3.6,History,50%,2.9,16,UC Berkeley
c2f66302,4.8,4.8,English,100%,1.9,16,UC Berkeley
2825c30c,3.6,3.6,Ethnic Studies,80%,1.7,14,UC Berkeley
a36a87d8,1.8,1.8,Materials Science,23%,4.9,9,UC Berkeley
0de0ba44,4.8,4.8,Mathematics,88%,4.1,8,UC Berkeley
56bdeef7,2.3,2.3,Arts & Humanities,25%,3,4,UC Berkeley
349e8032,5.0,5.0,Slavic Languages & Literatures,100%,2.3,4,UC Berkeley
14e7e36c,3.0,3.0,Ethnic Studies,67%,2.3,3,UC Berkeley
b863c445,5.0,5.0,Theatre & Dance,100%,1.5,2,UC Berkeley
c6bd112d,5.0,5.0,Economics,100%,4,1,UC Berkeley
9fcfdec7,5.0,5.0,Literature,100%,3,1,UC Berkeley
59f33c13,3.8,3.8,Ethnic Studies,91%,2.6,105,UC Berkeley
a74c6cbc,4.7,4.7,Earth Science,94%,2,71,UC Berkeley
d88cabb5,4.6,4.6,History,94%,3,69,UC Berkeley
7916480f,3.0,3.0,Mathematics,50%,3.8,46,UC Berkeley
bb8dba03,4.9,4.9,Women's Studies,100%,2.3,31,UC Berkeley
29bd2997,3.9,3.9,French,93%,2.8,28,UC Berkeley
37fa2663,4.7,4.7,Sociology,97%,2.3,27,UC Berkeley
2b500444,4.6,4.6,Art History,95%,2.5,17,UC Berkeley
974b61ae,4.3,4.3,Business Administration,90%,2.9,10,UC Berkeley
62ff3e26,4.8,4.8,Earth Science,100%,1.6,9,UC Berkeley
ecfd5ae9,5.0,5.0,English,100%,2.5,4,UC Berkeley
9b014d40,4.9,4.9,Sociology,97%,3.1,67,UC Berkeley
c69f9651,5.0,5.0,International Studies,100%,2.6,55,UC Berkeley
af03e70d,4.8,4.8,Classics,93%,2.1,26,UC Berkeley
18d3bd85,4.9,4.9,Writing,100%,2.6,26,UC Berkeley
6cd679d3,2.8,2.8,Economics,50%,4.2,22,UC Berkeley
b1e0d446,4.4,4.4,Economics,90%,2.5,20,UC Berkeley
d34c3991,4.0,4.0,Rhetoric,59%,3.3,12,UC Berkeley
ae6993fd,3.0,3.0,Business Administration,46%,2.9,11,UC Berkeley
fbf7991d,2.1,2.1,Economics,10%,3.5,11,UC Berkeley
8f3a1e24,1.6,1.6,Economics,19%,4.5,11,UC Berkeley
26c4e760,4.5,4.5,Italian,100%,2.6,10,UC Berkeley
a746acec,5.0,5.0,French,100%,2.3,6,UC Berkeley
206600c5,4.2,4.2,Political Science,84%,2.8,6,UC Berkeley
c7b7f20c,3.8,3.8,Business Administration,67%,2.8,6,UC Berkeley
f2e719e5,5.0,5.0,East Asian Studies,100%,1.5,4,UC Berkeley
692583e3,4.5,4.5,Journalism,100%,2,2,UC Berkeley
cf822adc,3.5,3.5,Rhetoric,50%,3.5,2,UC Berkeley
c96d71a5,5.0,5.0,Rhetoric,100%,3,1,UC Berkeley
1319d47e,0.0,0.0,Rhetoric,N/A,0,0,UC Berkeley
271a54f7,2.9,2.9,Anthropology,50%,2.2,28,UC Berkeley
f8c36cb4,2.4,2.4,Ethnic Studies,29%,3.1,14,UC Berkeley
67cb50e3,4.0,4.0,Social Welfare,82%,2.6,11,UC Berkeley
66b71a64,4.8,4.8,Slavic Languages & Literatures,84%,3,6,UC Berkeley
e06e671d,4.7,4.7,Computer Science,100%,3.7,3,UC Berkeley
614cf85b,5.0,5.0,Theatre & Dance,100%,1,1,UC Berkeley
6ca29ff1,4.0,4.0,Rhetoric,100%,4,1,UC Berkeley
5918a18d,2.1,2.1,Business Administration,22%,4.3,33,UC Berkeley
9b8c0d3e,3.8,3.8,Social Welfare,63%,3.7,9,UC Berkeley
b2aa32d8,3.9,3.9,Psychology,63%,2.8,8,UC Berkeley
8ab74455,5.0,5.0,Physics,100%,2,1,UC Berkeley
0273e392,2.8,2.8,Geography,34%,3.8,6,UC Berkeley
585c9aab,5.0,5.0,Civil & Environmental Engineering,100%,3,2,UC Berkeley
d28e29e4,4.9,4.9,Physical Ed,99%,3.4,569,UC Berkeley
2058b3bd,3.9,3.9,Environmental Science,89%,1.5,39,UC Berkeley
977fa3ca,3.0,3.0,Mathematics,62%,3.1,36,UC Berkeley
ae6a3b2d,4.2,4.2,Linguistics,67%,3.3,34,UC Berkeley
b25694ef,4.9,4.9,English,96%,3,30,UC Berkeley
48b6a123,3.9,3.9,History,64%,3.1,21,UC Berkeley
9ece52de,3.1,3.1,City & Regional Planning,56%,3.3,9,UC Berkeley
88cf634d,4.7,4.7,Earth Science,89%,2.7,9,UC Berkeley
0cb0801e,2.0,2.0,Comparative Literature,20%,4,5,UC Berkeley
a9086384,5.0,5.0,Molecular/Cellular Biology,100%,3,2,UC Berkeley
b3203da4,3.0,3.0,Political Science,63%,3.3,54,UC Berkeley
c276a181,3.8,3.8,History,56%,3.4,28,UC Berkeley
1c61ee92,2.5,2.5,Mechanical Engineering,32%,2.5,27,UC Berkeley
5369b74b,4.0,4.0,History,67%,3.1,12,UC Berkeley
d928cd04,5.0,5.0,Architecture,100%,2.3,3,UC Berkeley
c31dadd5,5.0,5.0,Art History,100%,3,1,UC Berkeley
3d2d3bdc,5.0,5.0,Biology,100%,1,1,UC Berkeley
a4acfaa4,4.3,4.3,Biology,77%,3.3,80,UC Berkeley
b31acda8,4.5,4.5,Psychology,93%,2,68,UC Berkeley
de78094a,3.6,3.6,Statistics,67%,3.1,63,UC Berkeley
1bef2c6f,4.3,4.3,Biology,67%,1.8,57,UC Berkeley
50c0e54f,4.8,4.8,Psychology,100%,1.8,32,UC Berkeley
68a1868c,4.2,4.2,History,84%,3.1,31,UC Berkeley
262c2de6,4.8,4.8,Sociology,92%,1.9,23,UC Berkeley
0e41ca62,3.4,3.4,Biology,86%,4,15,UC Berkeley
0487365b,2.7,2.7,Political Science,34%,4,6,UC Berkeley
ebf4d83e,4.3,4.3,MolecularCellular Biology,75%,3,4,UC Berkeley
94afb418,4.3,4.3,Biology,100%,2.8,4,UC Berkeley
2b67d8e4,5.0,5.0,Public Policy,100%,2.5,2,UC Berkeley
cdd01a53,4.2,4.2,Chemistry,82%,3,47,UC Berkeley
c3f2fa75,4.7,4.7,Political Science,93%,2.2,34,UC Berkeley
1d33d2f3,2.6,2.6,Public Policy,55%,2.1,11,UC Berkeley
a894fa0b,5.0,5.0,Business Administration,100%,2.2,5,UC Berkeley
ca31cd4b,2.2,2.2,Business Administration,20%,2.6,5,UC Berkeley
f000df09,3.5,3.5,Linguistics,50%,3,2,UC Berkeley
1259d1f7,4.6,4.6,Mathematics,90%,3.1,73,UCLA
76218228,2.5,2.5,Sociology,7%,3.8,61,UCLA
b031878f,2.9,2.9,Economics,0%,3,5,UCLA
8edb6492,2.8,2.8,Law,0%,4.1,10,UCLA
998912c0,3.8,3.8,Computer Science,67%,3.3,6,UCLA
be29a161,5.0,5.0,Dental,100%,3.5,68,UCLA
8cddb0d0,2.5,2.5,Chemistry,50%,3.5,2,UCLA
a76f2fcf,1.0,1.0,Computer Science,0%,5,1,UCLA
92515528,5.0,5.0,Anthropology,100%,2,1,UCLA
590851b7,3.0,3.0,Geography,100%,1,1,UCLA
e12f1742,4.3,4.3,History,67%,2.7,19,UCLA
84f07994,3.8,3.8,Anthropology,100%,2.9,8,UCLA
6db84e68,3.3,3.3,Sociology,34%,3.6,5,UCLA
54214927,3.5,3.5,Film,0%,2.3,3,UCLA
4228e721,5.0,5.0,English,100%,3,1,UCLA
7c48e94c,4.0,4.0,Biology,100%,3,1,UCLA
3d88aa1f,3.0,3.0,Anthropology,0%,4.3,18,UCLA
860ac868,5.0,5.0,Psychology,100%,3.1,12,UCLA
4fda35bb,3.6,3.6,Art History,60%,3.2,5,UCLA
788c1360,4.5,4.5,English,100%,4.5,2,UCLA
a9e687f4,5.0,5.0,Education,100%,1,1,UCLA
98bcaa8f,3.3,3.3,Computer Science,40%,4.3,7,UCLA
1833580e,4.0,4.0,Film,50%,2.5,4,UCLA
f2877ef5,3.0,3.0,Philosophy,0%,4.5,2,UCLA
d2c37c59,5.0,5.0,Education,100%,2.1,7,UCLA
dd3ccef3,1.5,1.5,Management,0%,3,3,UCLA
72a19ddf,4.8,4.8,Sociology,98%,2.9,39,UCLA
14389a4f,4.3,4.3,Sociology,75%,3,9,UCLA
449311c2,2.9,2.9,Communication,23%,3.8,33,UCLA
f207e614,5.0,5.0,English,100%,1,1,UCLA
11378b58,3.3,3.3,Anthropology,50%,3.1,14,UCLA
0c09030e,3.8,3.8,History,80%,3.7,17,UCLA
1330b095,2.2,2.2,Anthropology,34%,4,10,UCLA
398c4abc,3.8,3.8,Asian Studies,75%,3.8,4,UCLA
2428769d,1.5,1.5,Engineering,0%,2,2,UCLA
f8ea550f,3.4,3.4,Philosophy,100%,3.3,8,UCLA
4b183a9f,2.9,2.9,History,0%,3,4,UCLA
899bc4b6,3.7,3.7,English,67%,4,3,UCLA
2646c164,4.8,4.8,Economics,92%,1.3,137,UCLA
1a9df723,4.0,4.0,Communication,100%,3.4,5,UCLA
e7403d00,3.5,3.5,Computer Science,25%,3.7,19,UCLA
ccc753eb,4.5,4.5,Physics,100%,4.5,2,UCLA
3a5474c3,3.0,3.0,History,50%,4,4,UCLA
6e75ac55,5.0,5.0,Mechanical Engineering,100%,2.5,8,UCLA
75714444,5.0,5.0,Engineering,100%,3.5,2,UCLA
d0e18fef,4.5,4.5,Psychology,86%,2.9,13,UCLA
90435541,4.4,4.4,Law,95%,3.9,53,UCLA
cac536c2,4.3,4.3,Business,0%,3.1,16,UCLA
24d0708c,2.0,2.0,Biology,29%,4.6,7,UCLA
aec14814,3.9,3.9,Life Science,63%,3.3,19,UCLA
f6010ccd,4.6,4.6,Psychology,90%,3.5,39,UCLA
ad2169f8,3.1,3.1,English,67%,3.4,5,UCLA
77db0181,3.1,3.1,English,34%,2.7,7,UCLA
cdbd89d9,4.0,4.0,Law,100%,5,1,UCLA
974fa572,2.2,2.2,Psychology,0%,4,12,UCLA
f8087a67,1.0,1.0,Mathematics,0%,1.5,2,UCLA
deb2bef0,3.0,3.0,Engineering,50%,3.5,2,UCLA
18492b24,2.0,2.0,Architecture,29%,2.4,8,UCLA
8c805e47,1.7,1.7,Architecture,0%,4.3,3,UCLA
c921df56,2.0,2.0,Architecture,0%,2,1,UCLA
20cd4409,1.0,1.0,Architecture,0%,3,1,UCLA
b26b3f33,0.0,0.0,Architecture,N/A,0,0,UCLA
6225b17b,4.0,4.0,English,0%,4.3,7,UCLA
04785956,3.3,3.3,Statistics,67%,2.7,3,UCLA
2244b90f,4.0,4.0,History,67%,3,6,UCLA
c07d595b,2.8,2.8,English,50%,3.8,8,UCLA
e5ed70d4,4.0,4.0,Ethnic Studies,50%,3.3,4,UCLA
172f44a9,4.0,4.0,Physical Education,100%,5,1,UCLA
593ec204,2.6,2.6,Law,50%,3.3,4,UCLA
64397e51,1.0,1.0,Education,0%,1,1,UCLA
c3530866,5.0,5.0,Anthropology,100%,2,1,UCLA
313a97f6,3.0,3.0,MolecularCellularDev Biology,100%,4,1,UCLA
ca86d588,4.7,4.7,Statistics,100%,2.6,38,UCLA
375e4882,3.8,3.8,Mathematics,56%,3,14,UCLA
e48890f6,1.3,1.3,Women's Studies,0%,3.2,9,UCLA
b0e2a2e5,2.5,2.5,Art History,50%,4.3,8,UCLA
3a616ba2,3.5,3.5,Fine Arts,50%,2.5,2,UCLA
f48384ac,4.3,4.3,Political Science,67%,1.7,3,UCLA
